Date,AAPL,AXP,BA,IBM,MU,WMT
2015-01-02,24.531766891479492,81.89788818359375,113.65721893310547,106.69377899169922,34.32917785644531,71.68566131591797
2015-01-05,23.840667724609375,79.73202514648438,112.87006378173828,105.01495361328125,33.370933532714844,71.47703552246094
2015-01-06,23.842910766601562,78.03279113769531,111.54063415527344,102.75019836425781,32.471946716308594,72.02782440185547
2015-01-07,24.177236557006836,79.7370376586914,113.27236938476562,102.07866668701172,31.711273193359375,73.93887329101562
2015-01-08,25.106182098388672,80.86730194091797,115.27528381347656,104.29739379882812,33.26226043701172,75.49942016601562
2015-01-09,25.13311004638672,79.8429946899414,115.0478515625,104.75164031982422,33.123958587646484,74.56477355957031
2015-01-12,24.513813018798828,79.0306167602539,114.46186065673828,102.99381256103516,31.276599884033203,75.12389373779297
2015-01-13,24.73146629333496,78.79219818115234,114.72425842285156,103.2374267578125,30.46653175354004,74.53138732910156
2015-01-14,24.63722801208496,76.88487243652344,114.03328704833984,102.57245635986328,29.686098098754883,72.2781982421875
2015-01-15,23.968564987182617,75.83406066894531,113.82341003417969,101.76268005371094,28.94518280029297,72.9207534790039
2015-01-16,23.78232765197754,75.97535705566406,114.38314819335938,103.45466613769531,28.638935089111328,72.41168212890625
2015-01-20,24.394895553588867,77.05264282226562,114.76799774169922,103.32952880859375,29.310699462890625,72.34493255615234
2015-01-21,24.581132888793945,77.41466522216797,115.80876922607422,100.12993621826172,30.120769500732422,72.30319213867188
2015-01-22,25.220617294311523,74.50072479248047,118.63381958007812,102.30252838134766,30.515926361083984,73.68852996826172
2015-01-23,25.35075569152832,74.28878021240234,117.74169921875,102.61853790283203,30.575199127197266,73.86377716064453
2015-01-26,25.377687454223633,73.5558853149414,117.26068878173828,102.94116973876953,30.644351959228516,73.96393585205078
2015-01-27,24.4891300201416,72.76115417480469,115.86998748779297,101.170166015625,29.290945053100586,73.0459213256836
2015-01-28,25.87357521057129,72.1695327758789,122.13233184814453,99.77442169189453,28.74760627746582,72.45343780517578
2015-01-29,26.679107666015625,72.40792846679688,129.251708984375,102.3617935180664,29.350215911865234,73.20449829101562
2015-01-30,26.288679122924805,71.25116729736328,127.1438980102539,100.93312072753906,28.915546417236328,70.91788482666016
2015-02-02,26.6185245513916,72.5227279663086,127.92227172851562,101.82191467285156,28.095598220825195,71.52709197998047
2015-02-03,26.623008728027344,73.93558502197266,128.8668975830078,104.33025360107422,28.599422454833984,71.92766571044922
2015-02-04,26.82719612121582,73.82959747314453,128.76199340820312,103.33613586425781,28.67845344543457,72.31153869628906
2015-02-05,27.01868438720703,74.81858825683594,129.96890258789062,103.9615707397461,29.132883071899414,72.83731842041016
2015-02-06,26.791160583496094,75.06586456298828,129.44415283203125,103.90192413330078,28.55990219116211,72.87903594970703
2015-02-09,26.969118118286133,75.03934478759766,129.07681274414062,103.25880432128906,28.00668716430664,71.6939926147461
2015-02-10,27.48723602294922,75.79874420166016,129.4791259765625,105.1218032836914,30.713504791259766,72.84562683105469
2015-02-11,28.131505966186523,75.94889068603516,130.17434692382812,104.88314819335938,30.644351959228516,72.0528335571289
