ticker,date,open,high,low,close,adj close,volume
AAPL,7/1/2021,136.6,137.33,135.76,137.27,137.27,50374488
AAPL,6/30/2021,136.17,137.4,135.87,136.96,136.96,62906278
AAPL,6/29/2021,134.8,136.49,134.36,136.33,136.33,58641116
AAPL,6/28/2021,133.41,135.245,133.386,134.78,134.78,59959031
AAPL,6/25/2021,133.46,133.89,132.81,133.11,133.11,63990889
AAPL,6/24/2021,134.45,134.64,132.93,133.41,133.41,64767059
AAPL,6/23/2021,133.77,134.32,133.23,133.7,133.7,58833203
AAPL,6/22/2021,132.13,134.08,131.62,133.98,133.98,71729155
AAPL,6/21/2021,130.3,132.41,129.212,132.3,132.3,74317158
AAPL,6/18/2021,130.71,131.51,130.59,130.97,130.46,31496894
AAPL,6/17/2021,130.37,132.55,129.65,131.79,131.79,96230975
AAPL,6/16/2021,130.37,130.89,128.461,130.15,130.15,91265152
AAPL,6/15/2021,129.94,130.59,129.39,129.64,129.64,62194042
AAPL,6/14/2021,127.82,130.49,127.07,130.48,130.48,87631565
AAPL,6/11/2021,126.53,127.275,126.1,126.992,127.35,30903917
AAPL,6/10/2021,127.02,128.19,125.94,126.11,126.11,69880286
AAPL,6/9/2021,127.21,127.75,126.52,127.13,127.13,54895704
AAPL,6/8/2021,126.6,128.46,126.21,126.74,126.74,72497627
AAPL,6/7/2021,126.17,126.31,124.832,125.9,125.9,68205494
AAPL,6/4/2021,124.07,126.16,123.85,125.89,125.89,70882370
AAPL,6/3/2021,124.68,124.85,123.13,123.54,123.54,74123095
AAPL,6/2/2021,124.28,125.24,124.05,125.06,125.06,58418100
AAPL,6/1/2021,125.08,125.35,123.945,124.28,124.28,63460425
AAPL,5/28/2021,125.57,125.79,124.55,124.61,124.61,69849251
AAPL,5/27/2021,126.44,127.64,125.28,125.28,125.28,86473226
AAPL,5/26/2021,126.955,127.39,126.42,126.85,126.85,53175620
AAPL,5/25/2021,127.82,128.317,126.32,126.9,126.9,70119179
AAPL,5/24/2021,126.01,127.935,125.94,127.1,127.1,61144792
AAPL,5/21/2021,127.82,128,125.85,126.018,125.43,33015519
AAPL,5/20/2021,125.23,126.52,125.1,126.49,127.31,21086994
AAPL,5/19/2021,123.16,124.5,122.88,123.97,124.69,53530787
AAPL,5/18/2021,126.56,126.988,124.78,124.85,124.85,59794196
AAPL,5/17/2021,126.82,126.92,125.17,126.27,126.27,67867172
AAPL,5/14/2021,126.25,127.88,125.85,127.45,127.45,77970942
AAPL,5/13/2021,124.58,126.15,124.41,125.145,124.97,53272115
AAPL,5/12/2021,123.4,124.64,122.25,122.77,122.77,107046695
AAPL,5/11/2021,123.5,124.807,122.78,124.12,125.91,61051208
AAPL,5/10/2021,129.41,129.54,126.81,126.85,126.85,85152395
AAPL,5/7/2021,130.85,131.258,129.475,130.21,130.21,74667644
AAPL,5/6/2021,127.89,129.75,127.131,129.74,129.52,75870303
AAPL,5/5/2021,129.2,130.44,127.974,128.1,127.883,81207034
AAPL,5/4/2021,131.19,131.49,126.7,127.85,127.633,132893955
AAPL,5/3/2021,132.04,134.07,131.83,133.722,132.315,20151888
AAPL,4/30/2021,131.78,133.56,131.37,131.912,131.237,68139092
AAPL,4/29/2021,136.47,137.07,132.45,133.48,133.254,149258361
AAPL,4/28/2021,134.31,135.02,133.09,133.58,133.353,85993932
AAPL,4/27/2021,135.01,135.4,134.11,134.39,134.162,63819400
AAPL,4/26/2021,134.83,135.06,133.57,134.72,134.492,63123294
AAPL,4/23/2021,132.16,135.12,132.17,134.768,134.092,51847949
AAPL,4/22/2021,133.04,134.15,131.414,131.94,131.716,81136914
AAPL,4/21/2021,132.36,133.75,131.31,133.5,133.274,67380653
AAPL,4/20/2021,135.02,135.53,131.811,133.11,132.884,93002207
AAPL,4/19/2021,133.51,135.47,133.34,134.84,134.611,81081923
AAPL,4/16/2021,134.3,134.67,133.28,134.16,133.933,84818500
AAPL,4/15/2021,133.82,135,133.64,134.5,134.272,85846307
AAPL,4/14/2021,134.94,135,131.655,132.03,131.806,83184339
AAPL,4/13/2021,132.44,134.66,131.94,134.43,134.202,87964051
AAPL,4/12/2021,132.52,132.85,130.63,131.24,131.017,85546001
AAPL,4/9/2021,129.8,133,129.47,132.995,132.774,101979450
AAPL,4/8/2021,128.95,130.39,128.52,130.36,130.139,87394440
AAPL,4/7/2021,125.83,127.92,125.14,127.9,127.683,80915788
AAPL,4/6/2021,126.5,127.13,125.65,126.21,125.996,76847649
AAPL,4/5/2021,123.87,126.16,123.07,125.9,125.687,86139134
AAPL,4/1/2021,123.66,124.18,122.49,123,122.791,71488801
AAPL,3/31/2021,121.65,123.52,121.15,122.15,121.943,110940463
AAPL,3/30/2021,120.11,120.403,118.86,119.9,119.697,83484080
AAPL,3/29/2021,121.65,122.58,120.73,121.39,121.184,76387644
AAPL,3/26/2021,120.35,121.48,118.93,121.21,121.004,91907102
AAPL,3/25/2021,119.54,121.66,119,120.59,120.386,97103382
AAPL,3/24/2021,122.82,122.9,120.065,120.09,119.886,86548367
AAPL,3/23/2021,123.33,124.24,122.14,122.54,122.332,93726645
AAPL,3/22/2021,120.33,123.87,120.26,123.39,123.181,102495379
AAPL,3/19/2021,119.9,121.43,119.675,119.99,119.787,170293777
AAPL,3/18/2021,122.88,123.18,120.33,120.53,120.326,118907153
AAPL,3/17/2021,124.05,125.86,122.34,124.76,124.548,109244400
AAPL,3/16/2021,125.7,127.22,124.715,125.57,125.357,112568895
AAPL,3/15/2021,121.41,124,120.43,123.99,123.78,91641945
AAPL,3/12/2021,120.4,121.17,119.16,121.03,120.825,86244110
AAPL,3/11/2021,122.54,123.21,121.26,121.96,121.753,99598709
AAPL,3/10/2021,121.69,122.17,119.45,119.98,119.777,109755847
AAPL,3/9/2021,119.03,122.06,118.79,121.085,120.885,123844281
AAPL,3/8/2021,120.93,121,116.21,116.36,116.163,148913253
AAPL,3/5/2021,120.98,121.935,117.57,121.42,121.214,150621101
AAPL,3/4/2021,121.75,123.6,118.62,120.13,119.926,164527934
AAPL,3/3/2021,124.81,125.71,121.84,122.06,121.853,107071259
AAPL,3/2/2021,128.41,128.72,125.015,125.12,124.908,97447283
AAPL,3/1/2021,123.75,127.93,122.79,127.79,127.573,112259384
AAPL,2/26/2021,122.59,124.85,121.2,121.26,121.054,153051429
AAPL,2/25/2021,124.68,126.459,120.54,120.99,120.785,140936825
AAPL,2/24/2021,124.94,125.56,122.23,125.35,125.137,107661341
AAPL,2/23/2021,123.76,126.705,118.39,125.86,125.647,154886075
AAPL,2/22/2021,128.01,129.72,125.6,126,125.786,100925374
AAPL,2/19/2021,130.24,130.71,128.8,129.87,129.65,84158803
AAPL,2/18/2021,129.2,129.97,127.41,129.71,129.49,94648680
AAPL,2/17/2021,131.25,132.22,129.47,130.84,130.618,95934652
AAPL,2/16/2021,135.49,136,132.81,133.19,132.964,76304493
AAPL,2/12/2021,134.35,135.51,133.692,135.37,135.14,58587161
AAPL,2/11/2021,135.9,136.39,133.772,135.13,134.901,62058379
AAPL,2/10/2021,136.48,136.99,134.4,135.39,135.16,70527203
AAPL,2/9/2021,136.62,137.877,135.85,136.01,135.779,73445499
